"id","country","age","month","visitors"
"417","Myanmar","31-40","1/1/2010",345
"418","Myanmar","41-50","1/1/2010",147
"419","Myanmar","51-60","1/1/2010",47
"420","Myanmar","61+","1/1/2010",5
"421","Vietnam","Total","1/1/2010",6749
"422","Vietnam","0-20","1/1/2010",433
"423","Vietnam","21-30","1/1/2010",2640
"424","Vietnam","31-40","1/1/2010",1258
"425","Vietnam","41-50","1/1/2010",541
"426","Vietnam","51-60","1/1/2010",384
"427","Vietnam","61+","1/1/2010",92
"428","India","Total","1/1/2010",5439
"429","India","0-20","1/1/2010",93
"430","India","21-30","1/1/2010",852
"431","India","31-40","1/1/2010",1094
"432","India","41-50","1/1/2010",588
"433","India","51-60","1/1/2010",273
"434","India","61+","1/1/2010",92
"435","Sri Lanka","Total","1/1/2010",696
"436","Sri Lanka","0-20","1/1/2010",5
"437","Sri Lanka","21-30","1/1/2010",215
"438","Sri Lanka","31-40","1/1/2010",211
"439","Sri Lanka","41-50","1/1/2010",46
"440","Sri Lanka","51-60","1/1/2010",22
"441","Sri Lanka","61+","1/1/2010",3
"442","Pakistan","Total","1/1/2010",786
"443","Pakistan","0-20","1/1/2010",22
"444","Pakistan","21-30","1/1/2010",307
"445","Pakistan","31-40","1/1/2010",224
"446","Pakistan","41-50","1/1/2010",97
"447","Pakistan","51-60","1/1/2010",42
"448","Pakistan","61+","1/1/2010",5
"449","Bangladesh","Total","1/1/2010",659
"450","Bangladesh","0-20","1/1/2010",22
"451","Bangladesh","21-30","1/1/2010",194
"452","Bangladesh","31-40","1/1/2010",201
"453","Bangladesh","41-50","1/1/2010",61
"454","Bangladesh","51-60","1/1/2010",37
"455","Bangladesh","61+","1/1/2010",6
"456","Mongolia","Total","1/1/2010",3582
"457","Mongolia","0-20","1/1/2010",315
"458","Mongolia","21-30","1/1/2010",1011
"459","Mongolia","31-40","1/1/2010",974
"460","Mongolia","41-50","1/1/2010",658
"461","Mongolia","51-60","1/1/2010",317
"462","Mongolia","61+","1/1/2010",146
"463","China","Total","1/1/2010",140571
"464","China","0-20","1/1/2010",14480
"465","China","21-30","1/1/2010",46921
"466","China","31-40","1/1/2010",25582
"467","China","41-50","1/1/2010",22597
"468","China","51-60","1/1/2010",12041
"469","China","61+","1/1/2010",4614
"470","Iran","Total","1/1/2010",491
"471","Iran","0-20","1/1/2010",5
"472","Iran","21-30","1/1/2010",65
"473","Iran","31-40","1/1/2010",104
"474","Iran","41-50","1/1/2010",96
"475","Iran","51-60","1/1/2010",60
"476","Iran","61+","1/1/2010",17
"477","Israel","Total","1/1/2010",844
"478","Israel","0-20","1/1/2010",38
"479","Israel","21-30","1/1/2010",86
"480","Israel","31-40","1/1/2010",198
"481","Israel","41-50","1/1/2010",168
"482","Israel","51-60","1/1/2010",156
"483","Israel","61+","1/1/2010",175
"484","Turkey","Total","1/1/2010",874
"485","Turkey","0-20","1/1/2010",12
"486","Turkey","21-30","1/1/2010",160
"487","Turkey","31-40","1/1/2010",192
"488","Turkey","41-50","1/1/2010",90
"489","Turkey","51-60","1/1/2010",42
"490","Turkey","61+","1/1/2010",13
"491","Uzbekistan","Total","1/1/2010",1296
"492","Uzbekistan","0-20","1/1/2010",55
"493","Uzbekistan","21-30","1/1/2010",290
"494","Uzbekistan","31-40","1/1/2010",360
"495","Uzbekistan","41-50","1/1/2010",241
"496","Uzbekistan","51-60","1/1/2010",117
"497","Uzbekistan","61+","1/1/2010",24
"498","Kazakhstan","Total","1/1/2010",469
"499","Kazakhstan","0-20","1/1/2010",58
"500","Kazakhstan","21-30","1/1/2010",159
"501","Kazakhstan","31-40","1/1/2010",97
"502","Kazakhstan","41-50","1/1/2010",61
"503","Kazakhstan","51-60","1/1/2010",36
"504","Kazakhstan","61+","1/1/2010",17
"505","USA","Total","1/1/2010",41077
"506","USA","0-20","1/1/2010",3229
"507","USA","21-30","1/1/2010",7742
"508","USA","31-40","1/1/2010",6458
"509","USA","41-50","1/1/2010",7836
"510","USA","51-60","1/1/2010",7930
"511","USA","61+","1/1/2010",5253
"512","Canada","Total","1/1/2010",8503
"513","Canada","0-20","1/1/2010",704
"514","Canada","21-30","1/1/2010",2212
"515","Canada","31-40","1/1/2010",1541
"516","Canada","41-50","1/1/2010",1431
"517","Canada","51-60","1/1/2010",1323
"518","Canada","61+","1/1/2010",720
"519","Mexico","Total","1/1/2010",429
"520","Mexico","0-20","1/1/2010",17
"521","Mexico","21-30","1/1/2010",84
"522","Mexico","31-40","1/1/2010",126
"523","Mexico","41-50","1/1/2010",82
"524","Mexico","51-60","1/1/2010",33
"525","Mexico","61+","1/1/2010",15
"526","Brazil","Total","1/1/2010",792
"527","Brazil","0-20","1/1/2010",50
"528","Brazil","21-30","1/1/2010",178
"529","Brazil","31-40","1/1/2010",126
"530","Brazil","41-50","1/1/2010",116
"531","Brazil","51-60","1/1/2010",85
"532","Brazil","61+","1/1/2010",62
"533","United Kingdom","Total","1/1/2010",6470
"534","United Kingdom","0-20","1/1/2010",353
"535","United Kingdom","21-30","1/1/2010",1248
"536","United Kingdom","31-40","1/1/2010",1268
"537","United Kingdom","41-50","1/1/2010",1405
"538","United Kingdom","51-60","1/1/2010",1091
"539","United Kingdom","61+","1/1/2010",733
"540","Germany","Total","1/1/2010",6486
"541","Germany","0-20","1/1/2010",270
"542","Germany","21-30","1/1/2010",1160
"543","Germany","31-40","1/1/2010",1101
"544","Germany","41-50","1/1/2010",1566
"545","Germany","51-60","1/1/2010",851
"546","Germany","61+","1/1/2010",489
"547","France","Total","1/1/2010",4252
"548","France","0-20","1/1/2010",352
"549","France","21-30","1/1/2010",789
"550","France","31-40","1/1/2010",923
"551","France","41-50","1/1/2010",779
"552","France","51-60","1/1/2010",547
"553","France","61+","1/1/2010",274
"554","Netherlands","Total","1/1/2010",1380
"555","Netherlands","0-20","1/1/2010",49
"556","Netherlands","21-30","1/1/2010",162
"557","Netherlands","31-40","1/1/2010",286
"558","Netherlands","41-50","1/1/2010",299
"559","Netherlands","51-60","1/1/2010",192
"560","Netherlands","61+","1/1/2010",94
"561","Sweden","Total","1/1/2010",855
"562","Sweden","0-20","1/1/2010",40
"563","Sweden","21-30","1/1/2010",130
"564","Sweden","31-40","1/1/2010",210
"565","Sweden","41-50","1/1/2010",196
"566","Sweden","51-60","1/1/2010",120
"567","Sweden","61+","1/1/2010",68
"568","Switzerland","Total","1/1/2010",534
"569","Switzerland","0-20","1/1/2010",35
"570","Switzerland","21-30","1/1/2010",98
"571","Switzerland","31-40","1/1/2010",108
"572","Switzerland","41-50","1/1/2010",124
"573","Switzerland","51-60","1/1/2010",88
"574","Switzerland","61+","1/1/2010",56
"575","Itary","Total","1/1/2010",1256
"576","Itary","0-20","1/1/2010",15
"577","Itary","21-30","1/1/2010",151
"578","Itary","31-40","1/1/2010",377
"579","Itary","41-50","1/1/2010",351
"580","Itary","51-60","1/1/2010",195
"581","Itary","61+","1/1/2010",95
"582","Denmark","Total","1/1/2010",470
"583","Denmark","0-20","1/1/2010",24
"584","Denmark","21-30","1/1/2010",49
"585","Denmark","31-40","1/1/2010",95
"586","Denmark","41-50","1/1/2010",130
"587","Denmark","51-60","1/1/2010",58
"588","Denmark","61+","1/1/2010",36
"589","Norway","Total","1/1/2010",814
"590","Norway","0-20","1/1/2010",45
"591","Norway","21-30","1/1/2010",123
"592","Norway","31-40","1/1/2010",214
"593","Norway","41-50","1/1/2010",176
"594","Norway","51-60","1/1/2010",153
"595","Norway","61+","1/1/2010",55
"596","Belgium","Total","1/1/2010",450
"597","Belgium","0-20","1/1/2010",23
"598","Belgium","21-30","1/1/2010",50
"599","Belgium","31-40","1/1/2010",97
"600","Belgium","41-50","1/1/2010",115
"601","Belgium","51-60","1/1/2010",76
"602","Belgium","61+","1/1/2010",25
"603","Austria","Total","1/1/2010",579
"604","Austria","0-20","1/1/2010",8
"605","Austria","21-30","1/1/2010",103
"606","Austria","31-40","1/1/2010",121
"607","Austria","41-50","1/1/2010",125
"608","Austria","51-60","1/1/2010",74
"609","Austria","61+","1/1/2010",70
"610","Spain","Total","1/1/2010",600
"611","Spain","0-20","1/1/2010",17
"612","Spain","21-30","1/1/2010",120
"613","Spain","31-40","1/1/2010",212
"614","Spain","41-50","1/1/2010",119
"615","Spain","51-60","1/1/2010",56
"616","Spain","61+","1/1/2010",20
"617","Greece","Total","1/1/2010",444
"618","Greece","0-20","1/1/2010",0
"619","Greece","21-30","1/1/2010",31
"620","Greece","31-40","1/1/2010",83
"621","Greece","41-50","1/1/2010",74
"622","Greece","51-60","1/1/2010",48
"623","Greece","61+","1/1/2010",32
"624","Portugal","Total","1/1/2010",415
"625","Portugal","0-20","1/1/2010",63
"626","Portugal","21-30","1/1/2010",62
"627","Portugal","31-40","1/1/2010",108
"628","Portugal","41-50","1/1/2010",96
"629","Portugal","51-60","1/1/2010",48
"630","Portugal","61+","1/1/2010",10
"631","Finland","Total","1/1/2010",551
"632","Finland","0-20","1/1/2010",33
"633","Finland","21-30","1/1/2010",107
"634","Finland","31-40","1/1/2010",106
"635","Finland","41-50","1/1/2010",107
"636","Finland","51-60","1/1/2010",59
"637","Finland","61+","1/1/2010",26
"638","Ireland","Total","1/1/2010",511
"639","Ireland","0-20","1/1/2010",16
"640","Ireland","21-30","1/1/2010",219
"641","Ireland","31-40","1/1/2010",116
"642","Ireland","41-50","1/1/2010",87
"643","Ireland","51-60","1/1/2010",38
"644","Ireland","61+","1/1/2010",18
"645","Ukraine","Total","1/1/2010",1615
"646","Ukraine","0-20","1/1/2010",30
"647","Ukraine","21-30","1/1/2010",156
"648","Ukraine","31-40","1/1/2010",112
"649","Ukraine","41-50","1/1/2010",109
"650","Ukraine","51-60","1/1/2010",53
"651","Ukraine","61+","1/1/2010",10
"652","Russia","Total","1/1/2010",8674
"653","Russia","0-20","1/1/2010",275
"654","Russia","21-30","1/1/2010",792
"655","Russia","31-40","1/1/2010",1008
"656","Russia","41-50","1/1/2010",1140
"657","Russia","51-60","1/1/2010",789
"658","Russia","61+","1/1/2010",341
"659","Croatia","Total","1/1/2010",497
"660","Croatia","0-20","1/1/2010",2
"661","Croatia","21-30","1/1/2010",32
"662","Croatia","31-40","1/1/2010",64
